H C N O F Pred GT
0.99988145 -0.09784213 0.24634504 0.29571688 0.15642038 H O
0.7595002 -0.2728382 0.22898842 -0.0043701306 0.9427997 F C
0.87683076 0.03928627 0.15463021 0.6275982 0.9959487 F C
0.83959913 0.42876142 -0.072714835 0.12831973 1.0070068 F C
1.1181481 0.091879226 0.17040503 0.46306172 1.1758218 F C
0.97454643 -0.09949879 0.24239828 0.12636729 -0.45666575 H N
1.0637314 0.0020093443 0.06872584 -0.12883715 1.0370489 H C
0.85789984 0.0043521244 0.0065006465 0.014544541 0.9896066 F C
1.1545573 -0.0057594515 0.81785166 -0.09073023 0.19126019 H O
1.1549811 0.21493196 1.0387261 -0.042743385 0.74665 H H
0.18148533 1.1298784 1.2094734 -0.25844216 -0.009174254 N H
0.027778087 1.020133 0.5465206 -0.0005590096 -0.115353145 C H
0.7708435 0.10280122 1.1497738 -0.03788639 0.5452879 N H
-0.31166443 0.4949007 0.89791346 0.0007535694 0.017577223 N H
0.14014639 1.0336678 1.0027837 -0.29572454 -0.039305687 C H
0.68555135 0.03384592 1.0094941 0.21191977 0.8054434 N H
-0.2675952 1.1207038 0.6918104 0.07477181 0.7793211 C H
-0.111264035 0.6911434 1.0798107 0.13518143 1.2629155 F H
