H C N O F Pred GT
1.0050974 0.015511334 0.010417335 -0.1188243 1.2012664 F N
0.9871767 -0.22003362 0.014751732 0.6760721 0.9746912 H C
0.85278356 -0.13906729 1.0423656 -0.05581333 1.3279829 F O
1.104395 0.1445784 0.004187826 0.61672217 1.1591853 F C
1.0974338 -0.0057091527 0.09243887 0.9327892 0.94195336 H C
1.0401006 0.16274804 0.27924895 -0.27233508 0.79773617 H C
0.84112597 0.04945018 0.13388532 0.54289496 0.9638564 F O
0.88231033 -0.0024208054 0.060680002 -0.02643438 0.8551671 H C
1.1206105 0.4000135 1.0809804 0.044724964 0.2919699 H N
0.8367538 -0.081705056 1.0731742 -0.038085237 1.1150236 F H
0.762069 0.09068704 0.8673926 0.0047357716 1.0522629 F H
0.053402048 0.9025662 0.48564672 -0.025014311 -0.0048066154 C H
-0.054944836 1.0020651 1.0708382 -0.11470346 -0.3038404 N H
0.08849721 0.66885585 1.0617797 -0.01834479 0.20334041 N H
0.050012883 0.9177115 1.1921556 0.38318914 -0.22795618 N H
0.007616371 -0.04468696 1.0925919 -0.08901896 0.83540934 N H
1.2859107 0.20520592 1.0769126 -0.0020039175 0.87028396 H H
