H C N O F Pred GT
0.6944287 0.010261968 -0.09140283 0.95561963 1.1892649 F C
1.0528635 0.13356823 0.14981194 -0.122629926 1.1181716 F C
0.91040814 0.0013954537 0.09751019 0.34837943 0.7157258 H C
1.0891385 -0.06595205 0.126734 -0.014409438 0.94487244 H C
0.9219574 0.21514988 0.16717154 0.15697637 1.0439582 F C
0.8452333 0.22012734 0.117159694 1.1497729 1.1568227 F C
1.007101 -0.23104124 1.0908772 -0.08739262 1.3596162 F O
0.98855233 0.039378926 0.047011457 1.0914024 1.1454234 F C
0.99261904 -0.22307254 1.00614 0.5812926 1.011099 F N
-0.21826684 0.55854076 1.0576438 0.14472614 0.15832388 N H
-0.07536717 1.0385091 0.22097242 0.16693203 0.21231145 C H
0.016873188 0.88998806 1.1949369 0.070354566 -0.065996334 N H
0.08966236 0.49894014 0.9976828 0.30308992 0.2593112 N H
-0.12311677 0.8147872 0.960292 0.07423364 0.7385154 N H
0.02364931 0.95145464 1.225803 0.57962847 0.3919266 N H
-0.05366912 0.78967804 1.0427684 0.17785166 -0.12723932 N H
-0.11782772 0.9995642 1.3716567 0.033456556 -0.095060095 N H
-0.24672207 1.1532468 0.6616974 0.0115966275 -0.11208236 C H
