H C N O F Pred GT
0.9220164 0.25040966 0.18717332 0.32559782 0.40920457 H O
1.0593113 -0.09023315 -0.05055937 0.17715526 0.8819887 H C
0.90972364 0.088822275 0.013777442 1.2616069 0.7802609 O C
1.0433673 -0.091760024 0.11952399 -0.008136784 0.9762164 H C
0.9778677 -0.015884504 0.117201135 0.11302115 0.807873 H C
1.0888236 -0.08324632 0.37900692 0.026574075 1.0137503 H O
1.105486 -0.09418745 -0.19270328 1.1105782 1.2056531 F C
1.0382438 -0.044991467 0.9700303 -0.104615465 0.26200843 H O
0.9710156 -0.0715894 -0.01657714 -0.12257551 1.0601722 F C
1.0747876 -0.12206365 0.702553 0.07111227 1.0400487 H H
0.19123028 0.41976795 1.0089813 -0.0327892 0.7106127 N H
-0.097568616 1.3241597 1.0551434 0.038843542 -0.008748511 C H
-0.10400974 1.2026408 1.0594137 1.4070733 0.4270843 O H
-0.0023669451 0.32600462 1.2335749 -0.019930372 0.49332374 N H
-0.015796896 -0.1223121 1.0263817 0.18910116 -0.02069579 N H
0.019997476 -0.11053085 0.78935623 0.06727514 1.3583701 F H
-0.18251377 0.24351543 1.2195758 -0.22520894 1.1823533 N H
-0.15124722 0.3080687 1.0925541 0.07437056 0.036112018 N H
0.06512666 -0.042005047 0.9176919 0.11230381 0.16615276 N H
