H C N O F Pred GT
0.7868165 -0.042596363 -0.016528454 0.813061 0.8328304 F C
1.0433357 -0.13858494 -0.037110608 1.2126342 0.71346223 O C
1.0065558 -0.0094589535 -0.08281122 0.057383105 0.9942733 H C
0.8531951 -0.03842479 -0.24922153 0.27853358 1.1724889 F C
1.0427092 0.486647 0.021451525 0.617418 1.2803308 F C
0.61212575 -0.10814014 0.013260108 0.9249639 0.8351367 O C
0.8214487 -0.07737647 0.06185641 0.2176161 0.9902033 F C
0.9451448 -0.020731166 1.012176 0.14438632 0.09019873 N O
0.8945754 -0.07373948 0.078079686 1.0777601 1.0855128 F C
0.2810197 -0.19483182 0.5176822 0.06093564 -0.027766734 N H
-0.039485127 -0.047299195 0.7900884 -0.1564574 -0.025101475 N H
-0.10540393 0.9137574 0.77757424 0.16626714 0.84556097 C H
-0.060508337 0.32761306 9.268522e-05 -0.12563449 0.2210614 C H
0.39274853 -0.21758601 0.93323344 0.039490987 1.0009756 F H
0.09426761 0.81788945 1.0797061 0.10157098 0.14096382 N H
0.06642189 0.6241346 0.99551296 -0.07803385 0.02405876 N H
0.0036373883 -0.08605476 0.96227103 -0.026164532 -0.15170705 N H
-0.034286164 0.5175487 1.0587614 -0.24941602 0.021047518 N H
0.0062660947 0.080407396 0.75240004 0.06959745 0.849999 F H
-0.22764915 0.9569761 1.3056657 0.520136 0.7724088 N H
1.0894618 0.05727262 1.1357924 -0.20363155 0.9335665 N H
-0.114241175 0.9569734 0.8980092 0.03700947 0.61354953 C H
-0.15736079 0.21027647 1.1405249 -0.21126568 -0.16212925 N H
