H C N O F Pred GT
0.99046904 -0.30038655 -0.0052552074 0.8927056 0.7776401 H C
1.0781066 -0.15689723 -0.0045183487 -0.08836321 0.9026852 H C
0.96850777 0.14972281 0.9739835 -0.03869719 0.9871341 F C
0.87490416 0.19365841 0.10651729 -0.13458502 0.24147077 H C
1.0638002 0.033750392 0.9315754 -0.014275037 0.28370917 H N
1.0006357 -0.15562364 -0.056797616 0.74669313 0.8981977 H N
0.7550469 0.3128148 -0.06928348 0.00021779165 0.9874382 F C
0.9360093 -0.17249033 -0.21629293 0.48516232 0.6255101 H O
1.0331112 -0.06080365 0.9871314 0.15728173 0.48428255 H N
-0.09229658 0.614692 0.8560344 -0.13471127 -0.14010124 N H
0.07473736 0.63835835 0.8695452 -0.2207896 0.5536407 N H
0.04200767 0.087591216 0.9938452 -0.031772442 -0.16685703 N H
0.37014693 0.02306357 0.9867564 0.061035067 0.9350715 N H
0.8110101 -0.039312944 0.72367525 -0.19121405 1.1125367 F H
