H C N O F Pred GT
1.0128489 -0.08633313 0.81041116 -0.22945064 0.69410884 H O
1.1274651 0.03438264 -0.13715303 0.10858096 1.133659 F C
0.9947302 0.12497333 -0.12040563 0.78916126 1.1346736 F C
1.1738703 -0.23426937 -0.07530651 -0.041964643 0.10109923 H C
0.9016414 -0.06349519 -0.012696393 -0.034975156 1.1959537 F C
0.7495824 0.18030557 0.14509313 0.49122685 0.89825165 F C
0.5502718 -0.13351342 0.84007615 0.25759298 0.07898272 N O
1.0188665 0.13890491 -0.0065663084 1.1316946 0.86164963 O C
1.0876977 -0.21142173 -0.22412354 0.45636702 0.965205 H C
1.10555 -0.20537347 1.0808614 0.04988876 0.84135103 H H
0.17384237 1.1159396 0.8378133 -0.15110914 0.6306065 C H
0.11201495 1.1577466 0.7785753 -0.043050464 -0.15789646 C H
0.22074421 -0.32129586 0.63667834 0.1532013 -0.03578031 N H
0.20274493 0.15317225 0.92315674 0.05862218 -0.14183325 N H
-0.08209952 0.9536897 0.90071607 -0.076147705 0.23173946 C H
0.042269938 1.0049483 0.9059021 0.17416091 -0.115202636 C H
0.32033595 0.24143112 0.0310576 -0.19333297 -0.16096324 H H
-0.1026836 0.85563415 1.0566509 -0.18900517 0.508375 N H
0.24643472 1.2776998 1.0751855 -0.08444151 0.12566055 C H
