H C N O F Pred GT
0.731389 0.031512164 0.018502172 1.1580135 0.9747249 O C
0.86041224 0.07961665 0.12730096 -0.045030553 0.8360871 H C
0.67097485 0.056580286 0.0005659871 0.26709703 1.1244442 F C
1.3305418 -0.068813145 -0.27969563 1.2366393 0.86137635 H N
0.924232 -0.08951114 0.19711775 -0.12543467 0.90790856 H C
1.0379399 -0.024867728 0.08295455 0.78626263 0.42942566 H C
1.112824 -0.0999945 -0.18208094 -0.09592022 1.2912598 F N
1.196552 0.19605479 0.61770666 0.044310972 1.0367632 H N
1.0530453 0.041742194 0.098322734 -0.06637895 0.51249695 H O
-0.04548824 0.9641465 1.1339921 0.03464225 -0.16132651 N H
-0.06843322 0.7287482 0.82730526 0.28911886 1.1232222 F H
0.14969055 -0.09440577 1.1175702 -0.08638504 1.0443983 N H
0.11331849 0.7812678 0.8863717 0.00699915 0.6815561 N H
-0.23407704 0.6719509 0.9323817 -0.044759676 -0.007170598 N H
0.9620538 -0.030737353 0.8040772 0.08536978 1.4224905 F H
0.6276334 0.0321009 1.3730464 0.064574145 1.034791 N H
