H C N O F Pred GT
1.003951 0.013133485 0.10230295 -0.0047018975 1.0684924 F O
0.91331416 0.32542947 0.20677823 1.1023917 0.87449974 O C
0.9705077 0.0003451761 0.035748288 1.2600591 1.0519017 O C
0.87976944 -0.37746006 1.0408328 1.086487 0.96515685 O O
0.9483785 -0.1209376 0.38538277 0.7206028 1.1260111 F C
1.0133101 0.03565117 0.83882296 -0.1055534 0.07117978 H O
1.0412974 0.06799673 -0.21182345 0.93203104 1.0142893 H C
1.0867685 -0.24046442 0.49474686 1.1305525 0.16027905 O C
0.89183784 0.08166578 0.20361441 0.2173855 1.3201493 F N
0.903141 -0.013542127 -0.03221872 -0.09601066 0.007595919 H H
-0.12348751 1.2881514 0.77439934 0.17914063 -0.18616948 C H
-0.10237362 -0.084330656 0.014944866 -0.2618052 0.79369223 F H
0.06375988 1.1940765 -0.05865344 0.1782549 0.7612979 C H
1.0783253 -0.119099274 1.2799423 -0.13885769 1.3121203 F H
0.02953656 1.0044307 0.8944413 0.027436042 1.127975 F H
0.011347821 0.71356547 0.07586068 0.008881889 0.20971496 C H
