H C N O F Pred GT
0.8728274 0.12788749 -0.056200676 0.97332275 1.1413574 F C
0.8743189 0.10648987 0.9874264 0.44084442 0.7408549 N C
0.7461599 0.09941356 0.018943824 0.5971319 0.9618241 F C
0.9690669 -0.1680161 -0.2016775 0.12341962 0.8947522 H C
1.1429197 0.016199986 -0.48007125 0.56606215 1.1970148 F C
1.1875737 -0.11915246 0.2236268 -0.07101183 1.2029502 F O
1.0485698 -0.1148501 0.15172237 0.5444804 0.89263415 H C
1.0341207 -0.069568634 -0.17613989 1.131552 0.8235579 O C
0.98236066 -0.30366144 0.032303803 -0.15955643 0.29907742 H O
-0.01955606 1.1170882 1.0018027 0.0971101 -0.100602835 C H
0.10267964 0.96167785 0.9242089 0.30004442 0.45780635 C H
0.058926508 0.20672974 0.9426061 -0.060553595 -0.021943651 N H
-0.083106525 0.94433063 0.6977257 0.18857458 0.45264363 C H
-0.13645762 0.7274396 0.9040974 0.18561931 0.9864241 F H
-0.05623163 0.94602317 -0.0959099 0.20481732 0.57863665 C H
0.082411185 0.89445615 1.4051329 0.074120075 0.21339819 N H
-0.045454696 1.0381881 1.1685586 0.1135357 -0.02453719 N H
1.0095186 0.12614557 1.0997815 -0.056282017 -0.016698562 N H
0.22299743 0.20481206 0.88802946 -0.03416438 0.6106516 N H
-0.10928092 0.5792452 0.9586171 0.025127873 -0.009311702 N H
0.8755035 0.047526382 -0.023244284 0.9166394 1.2116258 F H
