H C N O F Pred GT
0.9042055 -0.10570764 0.12376563 1.0131434 0.9295825 O C
1.1904145 0.40096918 0.05540144 0.9407677 0.84617084 H C
0.7621339 -0.06699456 0.08456327 0.9276551 1.0620035 F C
1.037375 0.18764473 -0.09065677 0.5812571 0.9968949 H C
0.95811707 0.17133482 0.92772025 0.022205329 1.1557442 F N
0.9459818 0.10584045 -0.015226848 0.42655072 0.94983983 F C
0.9582371 -0.10621801 -0.12620878 0.8077349 0.7701248 H N
1.0626906 -0.0921851 -0.06535034 0.070781864 0.85346705 H C
1.132859 -0.10590172 1.1375048 0.0018258989 0.9628322 N N
-4.2612664e-05 0.039587706 0.88498497 0.015908016 0.023853922 N H
0.049882364 0.882436 0.9590738 0.22347668 0.36552328 N H
-0.013588339 0.7734198 0.23487535 0.7948982 0.38616708 O H
-0.09165819 1.1275772 1.0265403 -0.12380253 -0.09774186 C H
0.04039964 1.1514041 0.75101465 0.35981703 0.21358573 C H
-0.15593095 1.0081608 0.9676512 -0.060783226 -0.13867874 C H
-0.11536148 0.837633 1.0910751 0.13670745 -0.011638408 N H
0.07324335 0.2958453 1.0254307 -0.049450874 0.32016054 N H
-0.17348486 0.22757058 1.0403597 0.0019407272 0.08571433 N H
0.62290835 0.05434721 0.78573525 0.0693246 0.7648549 N H
1.0381774 0.0875627 0.94382423 0.08005379 0.44999236 H H
