H C N O F Pred GT
1.0575169 0.15380698 0.15995932 1.1248231 1.0351471 O C
1.183622 -0.1175091 -0.12792897 0.27276638 0.91590536 H C
0.8425801 0.13684545 0.81951374 -0.051653385 1.0532292 F C
1.0959564 0.2830639 0.114845425 -0.06365744 0.7850033 H C
0.90931034 0.2610164 -0.16822086 0.8748285 0.9963011 F C
0.7230328 -0.24564117 0.13371117 0.9710852 1.0850892 F C
0.8950221 -0.44495702 0.68582577 0.17191008 0.83522683 H O
1.0694575 0.18787913 0.9092072 0.15186054 0.35360566 H C
0.8433519 0.005713761 0.2439847 0.65354836 0.9911709 F C
-0.03708916 0.91897595 0.96592414 0.09920428 -0.12892625 N H
-0.079376735 0.84394586 0.9703901 0.11830327 1.1779503 F H
0.21931118 -0.25778005 0.96852493 0.100414835 0.53687304 N H
0.10984518 -0.3828046 1.1715497 -0.067714214 0.15925698 N H
-0.13502121 0.77545565 0.96031666 -0.057071123 -0.048444785 N H
0.03505015 -0.1123103 0.5501836 -0.17668593 0.40071526 N H
-0.14979047 0.92564446 0.73884845 0.023121864 -0.12598881 C H
-0.07726966 1.096922 1.1131004 0.14588837 0.18673523 N H
0.96790916 -0.23912744 0.3765808 -0.008487858 0.5312279 H H
0.94979286 -0.12675518 0.82993376 0.008782133 1.0625248 F H
