H C N O F Pred GT
0.8375796 0.1786511 -0.12756166 1.0656793 0.77349234 O C
0.7669733 0.20819663 0.14623368 0.9595503 1.0195504 F C
0.9691227 -0.029424045 0.06854758 0.6803981 1.153762 F C
0.80653715 0.29752028 1.0375044 0.023844391 0.92209816 N N
1.107706 0.101653636 -0.029852714 -0.05103628 0.93461317 H C
1.0696385 0.034417666 -0.04081942 1.0527413 0.99195004 H C
0.91069394 -0.1482591 0.0025074407 1.0115591 1.0629978 F C
1.0110296 0.027180454 1.0256252 -0.31399173 0.39896694 N O
1.2650096 0.051165905 1.0652368 0.031913467 1.2901905 F O
0.13282137 1.0952457 1.0949035 0.021768928 -0.21864308 C H
-0.09989731 1.1554378 1.1040775 0.14662819 -0.033701334 C H
0.044296745 1.0950379 0.8779201 -0.012649827 0.75753725 C H
0.06356405 0.06892474 1.0005801 -0.085024305 0.8067466 N H
-0.055494606 1.090528 0.99385303 -0.08620567 1.0066633 C H
1.0596699 0.11492009 0.8763935 -0.019142136 0.39574623 H H
0.9825335 0.08291127 1.085591 -0.061833583 1.1122289 F H
