H C N O F Pred GT
0.8564974 0.11735974 -0.10742955 0.987209 1.2706338 F C
0.3876445 0.026276171 0.8750514 0.43908367 0.33671397 N O
0.82555217 -0.12279102 0.27841148 0.5817512 0.8248654 H C
0.8446982 0.023427736 -0.120820135 -0.08955066 1.1572976 F C
0.9105607 0.041770846 0.86901677 -0.17990677 0.75664127 H O
1.212623 -0.018120542 0.16650118 1.0213842 0.9676868 H C
0.82295454 -0.147963 0.14312385 0.9521872 1.1179848 F C
1.1273471 -0.42735186 -0.16463953 0.75544655 0.816949 H C
0.93934286 0.08347387 0.7220919 -0.022144709 1.0483507 F O
0.016322833 0.8014741 1.0486629 0.15962219 0.21628939 N H
-0.15147841 0.8144057 1.085602 0.035500005 -0.056994423 N H
0.027105767 1.175293 1.1279349 0.08237158 0.008588042 C H
-0.11535158 0.03335554 -0.28235927 0.34643623 -0.11382496 O H
0.04852253 0.69051534 0.9093545 0.19762327 1.0026252 F H
0.053778335 0.90105635 1.0249978 0.19370012 0.76137006 N H
-0.11594254 1.025194 0.97231156 0.08933319 0.19161323 C H
0.23559105 1.1174124 1.0337892 0.18213761 0.701219 C H
0.04563705 0.8814286 0.774811 0.03611987 -0.090981 C H
0.034851015 0.95088243 0.62244177 -0.17781422 0.2101924 C H
