H C N O F Pred GT
1.0691868 0.12393603 -0.11494378 -0.09543198 1.0682375 H N
0.9487683 -0.027744085 -0.106754586 -0.071845375 0.8800923 H C
-0.057070788 -0.035868276 1.0822115 -0.6187164 0.13747105 N O
1.0731514 -0.056607995 -0.07771268 0.81137407 1.0076718 H C
1.2441627 0.29157433 0.024561472 0.77281123 1.0187114 H C
0.89882684 0.0853721 0.04378876 1.0733594 0.8272053 O C
1.1252927 -0.03307577 -0.059769705 1.1181353 1.1317073 F C
0.8865497 -0.2576277 -0.11091334 0.94851273 0.8291644 O C
1.0348462 -0.12772691 0.06492648 0.6587567 1.1710569 F C
1.1803986 -0.010183983 0.95331573 -0.018389136 1.0885274 H H
0.7219502 0.02868211 0.87546784 0.0454258 0.02796758 N H
-0.058659896 0.8533845 0.85426265 -0.0624625 0.9289644 F H
0.040646616 1.0550528 1.1803266 0.055606157 -0.16487044 N H
-0.0074281655 0.8672798 0.56691515 -0.16058214 0.2139351 C H
0.10234131 0.4515399 0.9094801 -0.09682812 -0.11053 N H
-0.08967067 0.88685006 0.74469435 0.20290186 0.17016003 C H
0.10555828 1.2623961 0.9881351 -0.1532331 0.011069834 C H
0.21900152 1.0510956 0.49952775 -0.062777035 0.9247645 C H
