H C N O F Pred GT
1.0636117 -0.19723213 -0.0334389 1.314315 1.0105522 O C
0.88589567 -0.16874316 0.048279174 0.24851222 0.23655163 H N
1.2854218 0.079255745 0.19700074 1.2114805 0.9869289 H C
1.0184314 -0.06692463 -0.0008181557 -0.22470908 1.1294018 F C
1.1169934 -0.10309298 0.18422106 1.0392984 1.0924015 H C
0.7027538 0.18384695 0.21063678 -0.21950907 1.0164363 F O
1.0608684 -0.03992317 -0.121082164 0.3397242 0.98385584 H C
1.0923668 0.109888926 -0.22040088 1.0334418 1.0954024 F C
1.063634 0.014137834 1.0502383 -0.11041831 0.9273044 H O
-0.03816084 1.0172923 0.34950137 -0.21480466 0.18927535 C H
0.2192679 0.30907086 0.90232867 0.086032465 -0.3509202 N H
0.055816803 0.9828066 0.99649566 -0.05008052 0.015890393 N H
-0.2135801 0.20077509 0.99185264 -0.22023936 -0.24028999 N H
0.15062232 0.98335844 1.0629091 0.14635503 -0.04402066 N H
0.057731904 1.1728992 0.96680623 0.15981156 0.027507164 C H
-0.15412742 0.9594586 0.7386676 0.27470088 0.5150232 C H
0.1567487 1.1806984 0.899891 0.05919465 -0.013640076 C H
1.1521562 -0.045988776 1.0760919 0.009655081 -0.12545058 H H
-0.23381054 0.99386835 0.80207527 0.042987928 -0.061983917 C H
-0.0023955256 -0.23936701 1.0456992 -0.08392094 0.5657027 N H
