H C N O F Pred GT
1.2023584 -0.03734268 -0.0777085 1.2920427 1.0429381 O C
0.7988838 0.16643673 -0.015344106 -0.30420566 0.4611678 H C
1.1440506 -0.017949494 -0.05517764 -0.19774023 0.6209245 H C
1.1046554 -0.20321965 0.24517481 1.1659172 0.87320393 O C
0.9340422 -0.060313027 -0.052402947 -0.06442548 1.270992 F O
0.98133814 -0.25984743 -0.11845074 1.1157739 1.2671882 F C
1.1480862 0.024497287 0.022700911 0.86803263 0.7649093 H N
0.8506021 -0.11180183 0.92619383 0.01042898 1.1122341 F N
0.85462105 0.005620256 0.08641859 -0.07700472 0.71659887 H N
0.00022219867 0.05174951 1.0110914 0.023493141 -0.035577644 N H
0.32165647 1.3471463 0.9514273 -0.10900939 0.08294328 C H
-0.21755666 0.37151724 1.0697258 -0.34157476 0.771583 N H
-0.12050618 0.8682639 0.9051721 0.036152877 1.097839 F H
0.8913062 -0.06615093 1.0740583 -0.07437856 1.0679454 N H
0.13413471 0.80960953 1.2295666 -0.08798812 0.046103097 N H
-0.002436079 0.98561037 0.92476845 0.019861769 -0.12631167 C H
