H C N O F Pred GT
0.8027456 0.06306779 -0.31821 1.1822246 0.91230667 O O
0.9734033 -0.057823144 -0.11639427 -0.24860843 0.8867198 H C
1.0307978 -0.2369802 -0.012417711 0.6179475 0.9909121 H C
0.89904565 -0.038343936 0.118466176 0.98140645 0.7957682 O C
0.9800233 -0.23712713 0.07800334 -0.070481315 0.43075073 H N
1.2744787 -0.015447047 0.47935373 0.5771724 1.1760216 H C
0.6460024 -0.009496987 0.40899003 0.100406796 1.0968016 F C
1.2522105 -0.063420564 -0.12554105 -0.1173112 0.95650864 H C
0.8859844 0.23960146 0.9629237 1.0449216 1.0344301 O N
1.0907786 0.10075337 1.3202267 0.08249431 0.99851865 N H
-0.031516425 -0.1342946 0.8658337 0.04040999 0.53263277 N H
0.25372422 -0.021014988 0.20004039 -0.13151939 0.10629894 H H
-0.035735734 -0.410483 1.0176753 0.03115959 1.0681686 F H
0.36051008 -0.17160149 0.9935452 -0.06471701 0.70984095 N H
0.089366704 0.05496462 0.7116683 0.058221936 1.0045264 F H
